"source","population","temperature","country","weeks_survived","survived","exp_length","sample_size","experiment_index","population_index"
,,28,"Corsica",8,0,15,,18,3
,,28,"Corsica",,1,8,,18,3
,,28,"Corsica",1,0,15,,18,3
,,28,"Corsica",6,0,15,,18,3
,,28,"Corsica",,1,11,,18,3
,,28,"Corsica",10,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",,1,9,,18,3
,,28,"Corsica",9,0,15,,18,3
,,28,"Corsica",,1,12,,18,3
,,28,"Corsica",12,0,15,,18,3
,,28,"Corsica",0,0,15,,18,3
,,28,"Corsica",,1,0,,18,3
,,28,"Corsica",0,0,15,,18,3
,,28,"Corsica",12,0,15,,18,3
,,28,"Corsica",12,0,15,,18,3
,,28,"Corsica",,1,12,,18,3
,,28,"Corsica",1,0,15,,18,3
,,28,"Corsica",,1,5,,18,3
,,28,"Corsica",5,0,15,,18,3
,,28,"Corsica",8,0,15,,18,3
,,28,"Corsica",8,0,15,,18,3
,,28,"Corsica",0,0,15,,18,3
,,28,"Corsica",5,0,15,,18,3
,,28,"Corsica",,1,5,,18,3
,,28,"Corsica",1,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",,1,2,,18,3
,,28,"Corsica",0,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",,1,2,,18,3
,,28,"Corsica",7,0,15,,18,3
,,28,"Corsica",9,0,15,,18,3
,,28,"Corsica",,1,9,,18,3
,,28,"Corsica",0,0,15,,18,3
,,28,"Corsica",0,0,15,,18,3
,,28,"Corsica",,1,0,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",,1,2,,18,3
,,28,"Corsica",3,0,15,,18,3
,,28,"Corsica",,1,13,,18,3
,,28,"Corsica",,1,13,,18,3
,,28,"Corsica",9,0,15,,18,3
,,28,"Corsica",,1,3,,18,3
,,28,"Corsica",,1,1,,18,3
,,28,"Corsica",3,0,15,,18,3
,,28,"Corsica",0,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",2,0,15,,18,3
,,28,"Corsica",,1,3,,18,3
,,28,"Corsica",,1,4,,18,3
,,28,"Corsica",,1,1,,18,3
